ObsID DateObs ExpTim SrcCt BkgCt BkgScal NetCt NetCtErr NetRate NetRateErr
01514 2000-02-03T09:38:00 2148.53943643 8483 39 57.3429 8482.32 92.1033 3.94795 0.0428679
01515 2000-02-03T18:10:05 5387.99776024 19045 129 57.3429 19042.8 138.004 3.53429 0.0256132
01516 2000-02-03T19:54:56 10204.97532794 7975 268 57.3429 7970.33 89.3033 0.781024 0.00875096
01000 2001-01-12T09:53:12 3877.62888196 14904 89 57.3429 14902.4 122.082 3.84319 0.0314837
01004 2001-01-12T11:23:31 15115.54819999 10889 335 57.3429 10883.2 104.351 0.719998 0.00690354
01001 2001-07-25T12:35:30 4940.50874739 19305 159 57.3429 19302.2 138.943 3.90693 0.0281231
01005 2001-07-25T14:12:12 15398.41152728 12373 323 57.3429 12367.4 111.234 0.803159 0.00722376
02600 2002-01-02T01:22:55 1884.62742402 7282 61 57.3429 7280.94 85.3347 3.86333 0.0452794
02601 2002-01-02T02:05:21 9488.54064037 7002 311 57.3429 6996.58 83.6785 0.737371 0.0088189
02602 2002-07-23T19:58:54 1879.79200357 7202 104 57.3429 7200.19 84.8648 3.83031 0.0451458
02603 2002-07-23T20:41:41 10104.09035296 7239 479 57.3429 7230.65 85.0832 0.715616 0.00842067
03714 2003-01-24T03:23:17 1860.07744120 7227 59 57.3429 7225.97 85.0119 3.88477 0.0457034
03715 2003-07-24T09:12:43 1885.50047382 7261 33 57.3429 7260.42 85.2116 3.85066 0.0451931
05043 2003-12-20T12:05:02 1970.78958435 7732 45 57.3429 7731.22 87.9319 3.9229 0.0446176
05045 2004-07-19T16:17:33 2133.32071688 8220 68 57.3429 8218.81 90.6643 3.85259 0.0424992
05958 2005-02-20T20:57:26 2164.91783402 8443 65 57.3429 8441.87 91.8859 3.89939 0.0424431
05960 2005-08-08T08:04:20 1758.80684184 6834 135 57.3429 6831.65 82.6683 3.88425 0.0470025
06474 2006-01-25T13:18:21 2145.33795822 8447 60 57.3429 8445.95 91.9077 3.93689 0.0428406
06476 2006-07-24T21:35:00 2169.00029108 8301 71 57.3429 8299.76 91.1099 3.82654 0.0420055
08275 2007-03-19T12:10:41 2156.45758149 8290 103 57.3429 8288.2 91.0496 3.84343 0.0422218
09619 2008-03-14T06:00:42 2162.00535425 8320 109 57.3429 8318.1 91.2142 3.8474 0.0421896
10623 2009-03-11T13:01:57 2160.85369138 8322 102 57.3429 8320.22 91.2252 3.85043 0.0422172
11934 2010-03-20T23:31:59 2157.93674384 8245 140 57.3429 8242.56 90.8022 3.81965 0.0420783
13046 2011-03-15T10:54:05 2121.90127156 8148 129 57.3429 8145.75 90.2665 3.83889 0.0425404
14255 2012-04-14T17:12:40 2156.22300267 8022 103 57.3429 8020.2 89.5658 3.71956 0.0415383
15394 2013-03-14T13:07:44 1790.26338380 6616 76 57.3429 6614.67 81.3389 3.69481 0.0454341
16374 2014-04-25T17:40:56 2129.96886316 7757 111 57.3429 7755.06 88.074 3.64093 0.0413499
17378 2015-03-09T12:04:56 2165.26647911 8006 103 57.3429 8004.2 89.4764 3.69664 0.0413235
18414 2016-01-05T19:23:02 2165.08648634 7757 137 57.3429 7754.61 88.0741 3.58166 0.0406792
18415 2016-01-05T20:14:09 4139.42345291 5101 240 57.3429 5096.81 71.4218 1.23129 0.017254
19846 2016-11-19T11:26:52 2155.80819175 7505 166 57.3429 7502.11 86.6317 3.47995 0.0401853
19847 2017-05-20T22:14:26 2064.74236737 6933 190 57.3429 6929.69 83.265 3.3562 0.0403271
19970 2017-11-15T12:53:56 2157.00135042 7200 173 57.3429 7196.98 84.8531 3.33657 0.0393385
